Contig,Gene,log2-fold change (after/before drought),TAIR or Pfam ID,Symbol,Protein product of domain type
m01oak07627cf,m01oak07627cf-t01.1,-1.51,D:PF00069 D:PF07714,Pkinase Pkinase_Tyr,Protein kinase domain ~ Protein tyrosine kinase
m01oak10745CC,m01oak10745CC-t01.1,-1.52,D:PF00855,PWWP,PWWP domain
m01oak01478cT,,-1.52,,,
m01oak72992Cz,,-1.52,,,
m01oak09092cC,,-1.52,,,
m01oak16607Ct,,-1.52,,,
m01oak16526CT,m01oak16526CT-t01.1,-1.52,AT1G65950,,Protein kinase superfamily protein
m01oak31885Cz,,-1.52,,,
m01oak12026cf,m01oak12026cf-t01.1,-1.52,AT3G14200,,Chaperone DnaJ-domain superfamily protein
m01oak31838jF,,-1.52,,,
m01oak69918cf,,-1.52,,,
m01oak25566jf,m01oak25566jf-t01.1,-1.52,AT5G24750,,UDP-Glycosyltransferase superfamily protein
m01oak19520Cz,,-1.52,,,
m01oak43287Cz,,-1.52,,,
m01oak27552Jz,,-1.52,,,
m01oak12971cF,,-1.52,,,
m01oak37704CT,m01oak37704CT-t01.1,-1.52,AT4G25270,,Tetratricopeptide repeat (TPR)-like superfamily protein
m01oak25021Ci,m01oak25021Ci-t01.1,-1.52,D:PF00646,F-box,F-box domain
m01oak23532Cz,,-1.52,,,
m01oak33869Cz,,-1.52,,,
m01oak02367Cz,,-1.52,,,
m01oak09293ci,m01oak09293ci-t01.1,-1.52,D:PF00149,Metallophos,Calcineurin-like phosphoesterase
m01oak14099cC,m01oak14099cC-t01.1,-1.52,AT3G29270,,RING/U-box superfamily protein
m01oak11470CC,m01oak11470CC-t01.1,-1.52,AT3G10390,FLD,Flavin containing amine oxidoreductase family protein
m01oak20163Cz,,-1.52,,,
m01oak09805jC,m01oak09805jC-t01.1,-1.52,AT5G55040,,DNA-binding bromodomain-containing protein
m01oak08826CC,m01oak08826CC-t01.1,-1.52,AT5G54010,,UDP-Glycosyltransferase superfamily protein
m01oak37948Cz,,-1.52,,,
m01oak37269Cz,,-1.52,,,
m01oak10828Cz,,-1.52,,,
m01oak17867Cz,,-1.52,,,
m01oak15560cC,m01oak15560cC-t01.1,-1.52,AT1G13820,,alpha/beta-Hydrolases superfamily protein
m01oak03630Cz,,-1.52,,,
m01oak52769Cz,,-1.52,,,
m01oak14322JC,m01oak14322JC-t01.1,-1.52,F:PF12708 D:PF00295,Pectate_lyase_3 2x:Glyco_hydro_28,Pectate lyase superfamily protein ~ Glycosyl hydrolases family 28
m01oak05556cf,m01oak05556cf-t01.1,-1.52,D:PF03110,SBP,SBP domain
m01oak05874JT,m01oak05874JT-t01.1,-1.52,AT4G27060,TOR1,ARM repeat superfamily protein
m01oak04213Cz,,-1.52,,,
m01oak18574Cz,,-1.52,,,
m01oak70235Cz,,-1.52,,,
m01oak43336Cz,,-1.53,,,
m01oak34086Jz,,-1.53,,,
m01oak54665cC,m01oak54665cC-t01.1,-1.53,r:PF13504 r:PF13516 r:PF13855 r:PF00560,2x:LRR_7 4x:LRR_6 3x:LRR_8 5x:LRR_1,Leucine rich repeat ~ Leucine Rich repeat ~ Leucine rich repeat ~ Leucine Rich Repeat
m01oak43853Cz,,-1.53,,,
m01oak47530Cz,,-1.53,,,
m01oak07024CF,m01oak07024CF-t01.1,-1.53,AT2G44640,,unknown protein
m01oak08694Cz,,-1.53,,,
m01oak23630cF,,-1.53,,,
m01oak15110CC,m01oak15110CC-t01.1,-1.53,D:PF08325 D:PF00641,WLM zf-RanBP,WLM domain ~ Zn-finger in Ran binding protein and others
m01oak07859Ct,m01oak07859Ct-t01.1,-1.53,AT3G52050,,5'-3' exonuclease family protein
m01oak05534cC,m01oak05534cC-t01.1,-1.53,AT4G14240,,CBS domain-containing protein with a domain of unknown function (DUF21)
m01oak07911Cz,,-1.53,,,
m01oak11084CF,,-1.53,,,
m01oak01663CC,m01oak01663CC-t01.1,-1.53,AT1G06130,GLX2-4,glyoxalase 2-4
m01oak45785Cz,,-1.53,,,
m01oak23571Cz,,-1.53,,,
m01oak57308Cz,,-1.53,,,
m01oak10013JC,m01oak10013JC-t01.1,-1.53,AT2G42770,,Peroxisomal membrane 22 kDa (Mpv17/PMP22) family protein
m01oak08330cF,m01oak08330cF-t01.1,-1.53,AT1G04010,PSAT1,phospholipid sterol acyl transferase 1
m01oak15317cF,,-1.53,,,
m01oak06223jc,m01oak06223jc-t01.1,-1.53,AT3G23900,,RNA recognition motif (RRM)-containing protein
m01oak26043Cz,,-1.53,,,
m01oak37311cF,,-1.53,,,
m01oak33243Cz,,-1.53,,,
m01oak19645CC,m01oak19645CC-t01.1,-1.53,F:PF00929,RNase_T,Exonuclease
m01oak01424cC,m01oak01424cC-t01.1,-1.53,AT5G05170,CEV1,Cellulose synthase family protein
m01oak27805Cz,,-1.53,,,
m01oak18765ci,m01oak18765ci-t01.1,-1.53,D:PF08268,FBA_3,F-box associated domain
m01oak36317Jz,,-1.53,,,
m01oak28393jC,m01oak28393jC-t01.1,-1.53,D:PF00808 D:PF00125,CBFD_NFYB_HMF Histone,Histone-like transcription factor (CBF/NF-Y) and archaeal histone ~ Core histone H2A/H2B/H3/H4
m01oak09526CT,m01oak09526CT-t01.1,-1.53,F:PF00872 D:PF04434 D:PF03101 D:PF10551,Transposase_mut SWIM FAR1 MULE,"Transposase, Mutator family ~ SWIM zinc finger ~ FAR1 DNA-binding domain ~ MULE transposase domain"
m01oak33334Cz,,-1.53,,,
m01oak15130Cf,m01oak15130Cf-t01.1,-1.53,AT1G33330,,Class I peptide chain release factor
m01oak27345Cz,,-1.53,,,
m01oak28158Cz,,-1.53,,,
m01oak27255Cz,,-1.53,,,
m01oak08202cF,m01oak08202cF-t01.1,-1.53,F:PF02183 D:PF00046,HALZ Homeobox,Homeobox associated leucine zipper ~ Homeobox domain
m01oak07066cC,m01oak07066cC-t01.1,-1.53,AT5G58440,SNX2a,sorting nexin 2A
m01oak09459cC,m01oak09459cC-t01.1,-1.53,r:PF13504 r:PF00560,LRR_7 LRR_1,Leucine rich repeat ~ Leucine Rich Repeat
m01oak35584Cz,,-1.53,,,
m01oak38434cF,m01oak38434cF-t01.1,-1.53,r:PF13504 r:PF13855 r:PF00560,LRR_7 2x:LRR_8 3x:LRR_1,Leucine rich repeat ~ Leucine rich repeat ~ Leucine Rich Repeat
m01oak48832Jz,,-1.53,,,
m01oak19385Cz,,-1.53,,,
m01oak28357Cz,,-1.53,,,
m01oak06596cC,,-1.53,,,
m01oak49318Cz,,-1.53,,,
m01oak60699Jz,,-1.53,,,
m01oak13777CC,m01oak13777CC-t01.1,-1.54,F:PF08387,FBD,FBD
m01oak33352Cz,,-1.54,,,
m01oak31148Jz,,-1.54,,,
m01oak10136cF,m01oak10136cF-t01.1,-1.54,D:PF00069 D:PF07714,Pkinase Pkinase_Tyr,Protein kinase domain ~ Protein tyrosine kinase
m01oak03789CC,m01oak03789CC-t01.1,-1.54,AT3G02830,ZFN1,zinc finger protein 1
m01oak29258Cz,,-1.54,,,
m01oak05896cC,m01oak05896cC-t01.1,-1.54,AT2G42580,TTL3,tetratricopetide-repeat thioredoxin-like 3
m01oak57789Cz,,-1.54,,,
m01oak38198Cz,,-1.54,,,
m01oak08860cc,m01oak08860cc-t01.1,-1.54,AT2G42200,SPL9,squamosa promoter binding protein-like 9
m01oak49858Cz,,-1.54,,,
m01oak44609cT,m01oak44609cT-t01.1,-1.54,F:PF07734 D:PF08268,FBA_1 FBA_3,F-box associated ~ F-box associated domain
m01oak29987Cz,,-1.54,,,
m01oak17100Cz,,-1.54,,,
m01oak07008cC,m01oak07008cC-t01.1,-1.54,AT3G09410,,Pectinacetylesterase family protein
m01oak07116Cz,m01oak07116Cz-t01.1,-1.54,AT3G58460,RBL15,RHOMBOID-like protein 15
m01oak04305jc,m01oak04305jc-t01.1,-1.54,AT4G24610,,unknown protein
m01oak15853cF,m01oak15853cF-t01.1,-1.54,AT3G27960,,Tetratricopeptide repeat (TPR)-like superfamily protein
m01oak30228jF,m01oak30228jF-t01.1,-1.54,F:PF00664 D:PF00005,2x:ABC_membrane ABC_tran,ABC transporter transmembrane region ~ ABC transporter
m01oak69402Cz,,-1.54,,,
m01oak00414cC,m01oak00414cC-t01.1,-1.54,AT4G15802,HSBP,heat shock factor binding protein
m01oak57825Cz,,-1.54,,,
m01oak71008Cz,,-1.54,,,
m01oak39920Cz,,-1.54,,,
m01oak41504cI,m01oak41504cI-t01.1,-1.54,D:PF00931,NB-ARC,NB-ARC domain
m01oak19912cC,m01oak19912cC-t01.1,-1.54,F:PF00493,MCM,MCM2/3/5 family
m01oak21512Cz,,-1.54,,,
m01oak64678Cz,,-1.54,,,
m01oak36733Cz,,-1.54,,,
m01oak09053Cz,,-1.54,,,
m01oak24372Cz,,-1.54,,,
m01oak35761Cz,,-1.54,,,
m01oak29478Cz,,-1.54,,,
m01oak34729Cz,,-1.54,,,
m01oak26855cF,m01oak26855cF-t01.1,-1.54,F:PF07002,Copine,Copine
m01oak12782cF,,-1.54,,,
m01oak38921Cz,,-1.54,,,
m01oak04873Cz,,-1.54,,,
m01oak31304Cz,,-1.54,,,
m01oak67242Cz,,-1.54,,,
m01oak15517cm,m01oak15517cm-t01.1,-1.54,AT4G17910,,"transferases, transferring acyl groups"
m01oak44937Ct,,-1.54,,,
m01oak11091Cz,,-1.54,,,
m01oak17475CC,m01oak17475CC-t01.1,-1.55,AT1G01880,,5'-3' exonuclease family protein
m01oak19241Cz,,-1.55,,,
m01oak36189Cz,,-1.55,,,
m01oak18011cC,m01oak18011cC-t01.1,-1.55,AT4G35987,,S-adenosyl-L-methionine-dependent methyltransferases superfamily protein
m01oak09822Cz,,-1.55,,,
m01oak17358cC,m01oak17358cC-t01.1,-1.55,r:PF07723,LRR_2,Leucine Rich Repeat
m01oak48700JT,,-1.55,,,
m01oak09835Ct,m01oak09835Ct-t01.1,-1.55,AT2G40030,NRPD1B,nuclear RNA polymerase D1B
m01oak33323Cz,,-1.55,,,
m01oak13890SC,m01oak13890SC-t01.1,-1.55,AT2G40690,GLY1,NAD-dependent glycerol-3-phosphate dehydrogenase family protein
m01oak13962Cf,m01oak13962Cf-t01.1,-1.55,D:PF13456,RVT_3,Reverse transcriptase-like
m01oak15890Cz,,-1.55,,,
m01oak29489Cz,,-1.55,,,
m01oak02447cC,m01oak02447cC-t01.1,-1.55,AT4G02510,TOC159,translocon at the outer envelope membrane of chloroplasts 159
m01oak19047Cz,,-1.55,,,
m01oak05865ci,m01oak05865ci-t01.1,-1.55,AT3G56900,,Transducin/WD40 repeat-like superfamily protein
m01oak39104Cz,,-1.55,,,
m01oak16615CC,m01oak16615CC-t01.1,-1.55,D:PF01915 F:PF00933,Glyco_hydro_3_C Glyco_hydro_3,Glycosyl hydrolase family 3 C-terminal domain ~ Glycosyl hydrolase family 3 N terminal domain
m01oak13594CT,,-1.55,,,
m01oak18369Cz,,-1.55,,,
m01oak31543Jz,,-1.55,,,
m01oak16261Cm,m01oak16261Cm-t01.2,-1.55,D:PF00075 D:PF13456,RNase_H RVT_3,RNase H ~ Reverse transcriptase-like
m01oak61120Cz,,-1.55,,,
m01oak01443jf,m01oak01443jf-t01.1,-1.55,D:PF00072,Response_reg,Response regulator receiver domain
m01oak22626cC,m01oak22626cC-t01.1,-1.55,AT3G13020,,hAT transposon superfamily protein
m01oak14113Cz,,-1.55,,,
m01oak43635Jz,,-1.55,,,
m01oak66211Cz,,-1.55,,,
m01oak06230CC,m01oak06230CC-t01.1,-1.55,AT4G32900,,Peptidyl-tRNA hydrolase II (PTH2) family protein
m01oak11048Sz,,-1.55,,,
m01oak06374Cz,,-1.55,,,
m01oak37467Cz,,-1.55,,,
m01oak13432cC,m01oak13432cC-t01.1,-1.55,AT5G63100,,S-adenosyl-L-methionine-dependent methyltransferases superfamily protein
m01oak13362Cz,,-1.55,,,
m01oak10482cf,m01oak10482cf-t01.1,-1.55,AT1G36310,,S-adenosyl-L-methionine-dependent methyltransferases superfamily protein
m01oak28498Cz,,-1.55,,,
m01oak10811Cz,,-1.55,,,
m01oak39324Cz,,-1.55,,,
m01oak18434CC,m01oak18434CC-t01.1,-1.55,F:PF02324 D:PF07821 D:PF00128,Glyco_hydro_70 Alpha-amyl_C2 Alpha-amylase,"Glycosyl hydrolase family 70 ~ Alpha-amylase C-terminal beta-sheet domain ~ Alpha amylase, catalytic domain"
m01oak16859JC,m01oak16859JC-t01.1,-1.56,AT5G61480,PXY,Leucine-rich repeat protein kinase family protein
m01oak41485Cz,,-1.56,,,
m01oak23239Cz,,-1.56,,,
m01oak29788Cz,,-1.56,,,
m01oak35690Jz,,-1.56,,,
m01oak10054CC,m01oak10054CC-t01.1,-1.56,AT3G57040,ARR9,response regulator 9
m01oak60339ci,,-1.56,,,
m01oak31014Cz,,-1.56,,,
m01oak59439Cz,,-1.56,,,
m01oak39761Jz,,-1.56,,,
m01oak13131Cz,,-1.56,,,
m01oak69178Cz,,-1.56,,,
m01oak30873Cz,,-1.56,,,
m01oak68649CC,m01oak68649CC-t01.1,-1.56,F:PF00201,UDPGT,UDP-glucoronosyl and UDP-glucosyl transferase
m01oak26766Cz,,-1.56,,,
m01oak18554Cz,,-1.56,,,
m01oak34805cC,m01oak34805cC-t01.1,-1.56,r:PF00560,LRR_1,Leucine Rich Repeat
m01oak25970JT,m01oak25970JT-t01.1,-1.56,D:PF13966 D:PF13456,zf-RVT RVT_3,zinc-binding in reverse transcriptase ~ Reverse transcriptase-like
m01oak34967Cz,,-1.56,,,
m01oak29838Cz,,-1.56,,,
m01oak07977Cz,,-1.56,,,
m01oak23144Cz,,-1.56,,,
m01oak07510Ct,,-1.56,,,
m01oak04417Ct,m01oak04417Ct-t01.1,-1.56,AT3G61440,CYSC1,cysteine synthase C1
m01oak15305Cz,,-1.56,,,
m01oak45039Cz,,-1.56,,,
m01oak38164Ji,m01oak38164Ji-t01.1,-1.56,r:PF12854 r:PF13041 r:PF13812 F:PF01535,4x:PPR_1 5x:PPR_2 5x:PPR_3 6x:PPR,PPR repeat ~ PPR repeat family ~ Pentatricopeptide repeat domain ~ PPR repeat
m01oak61969Cz,,-1.56,,,
m01oak00156jC,m01oak00156jC-t01.1,-1.56,AT4G26850,VTC2,mannose-1-phosphate guanylyltransferase (GDP)s; GDP-galactose:mannose-1-phosphate guanylyltransferases; GDP-galactose:glucose-1-phosphate guanylyltransferases; GDP-galactose:myoinositol-1-phosphate guanylyltransferases; glucose-1-phosphate guanylyltransferase
m01oak36754Jz,,-1.56,,,
m01oak63551Cz,,-1.56,,,
m01oak03191cC,m01oak03191cC-t01.1,-1.56,m:PF09425 D:PF06200 D:PF00320 m:PF06203,CCT_2 tify GATA CCT,Divergent CCT motif ~ tify domain ~ GATA zinc finger ~ CCT motif
m01oak50797Cz,,-1.56,,,
m01oak20526Cz,,-1.56,,,
m01oak40945Cz,,-1.56,,,
m01oak13846Ci,m01oak13846Ci-t01.1,-1.56,F:PF04142,Nuc_sug_transp,Nucleotide-sugar transporter
m01oak07647cC,m01oak07647cC-t01.1,-1.56,AT3G04650,,FAD/NAD(P)-binding oxidoreductase family protein
m01oak07644cC,m01oak07644cC-t01.1,-1.57,AT4G31820,ENP,Phototropic-responsive NPH3 family protein
m01oak74007Cz,,-1.57,,,
m01oak49021Cz,,-1.57,,,
m01oak16592Cz,,-1.57,,,
m01oak27862cM,"m01oak27862cM-t01.1, t01.2",-1.57,"D:PF00067, D:PF00067","p450, p450","Cytochrome P450, Cytochrome P450"
m01oak17793JT,m01oak17793JT-t01.1,-1.57,D:PF11838,ERAP1_C,ERAP1-like C-terminal domain
m01oak29585Ct,m01oak29585Ct-t01.1,-1.57,F:PF03088 F:PF08450,Str_synth SGL,Strictosidine synthase ~ SMP-30/Gluconolaconase/LRE-like region
m01oak15798JC,m01oak15798JC-t01.1,-1.57,AT5G04360,LDA,limit dextrinase
m01oak24354Cz,,-1.57,,,
m01oak14270Cz,,-1.57,,,
m01oak13041cC,m01oak13041cC-t01.1,-1.57,AT2G32360,,Ubiquitin-like superfamily protein
m01oak62204Cz,,-1.57,,,
m01oak11292CC,m01oak11292CC-t01.1,-1.57,D:PF00536 D:PF07647,SAM_1 SAM_2,SAM domain (Sterile alpha motif) ~ SAM domain (Sterile alpha motif)
m01oak08710Cf,m01oak08710Cf-t01.1,-1.57,F:PF01595 D:PF00571,DUF21 CBS,Domain of unknown function DUF21 ~ CBS domain
m01oak10944cf,m01oak10944cf-t01.1,-1.57,AT1G53710,,Calcineurin-like metallo-phosphoesterase superfamily protein
m01oak72450Cz,,-1.57,,,
m01oak03142cC,m01oak03142cC-t01.1,-1.57,AT5G53170,FTSH11,FTSH protease 11
m01oak31693Cz,,-1.57,,,
m01oak23112Cz,m01oak23112Cz-t01.1,-1.57,D:PF03061,4HBT,Thioesterase superfamily
m01oak31269Cz,,-1.57,,,
m01oak24895Cz,,-1.57,,,
m01oak09242CF,m01oak09242CF-t01.1,-1.57,F:PF01933,UPF0052,Uncharacterised protein family UPF0052
m01oak51875Cz,,-1.57,,,
m01oak19429Cz,,-1.57,,,
m01oak55853Cz,,-1.57,,,
m01oak23703Ci,m01oak23703Ci-t01.1,-1.57,F:PF08276,PAN_2,PAN-like domain
m01oak21034Cz,,-1.57,,,
m01oak40118Cz,m01oak40118Cz-t01.1,-1.57,F:PF00171,Aldedh,Aldehyde dehydrogenase family
m01oak35323Cz,,-1.57,,,
m01oak09263cC,m01oak09263cC-t01.1,-1.57,AT3G47930,GLDH,"L-galactono-1,4-lactone dehydrogenase"
m01oak24470jC,m01oak24470jC-t01.1,-1.57,AT1G77010,,Pentatricopeptide repeat (PPR) superfamily protein
m01oak35302Cz,,-1.57,,,
m01oak09208CC,m01oak09208CC-t01.1,-1.57,AT5G59350,,unknown protein
m01oak46567Cz,,-1.57,,,
m01oak48182jf,m01oak48182jf-t01.1,-1.57,D:PF10536 F:PF01657,PMD 2x:Stress-antifung,Plant mobile domain ~ Salt stress response/antifungal
m01oak32976Cz,,-1.57,,,
m01oak51087Cz,,-1.57,,,
m01oak46482Cz,,-1.57,,,
m01oak68095Cz,,-1.57,,,
m01oak10152Cm,m01oak10152Cm-t01.2,-1.57,AT1G20810,,FKBP-like peptidyl-prolyl cis-trans isomerase family protein
m01oak57738Cz,,-1.57,,,
m01oak09480Cm,m01oak09480Cm-t01.1,-1.57,AT5G08740,NDC1,NAD(P)H dehydrogenase C1
m01oak57469ji,m01oak57469ji-t01.1,-1.57,r:PF13516 r:PF00560 D:PF00069 D:PF07714,2x:LRR_6 3x:LRR_1 Pkinase Pkinase_Tyr,Leucine Rich repeat ~ Leucine Rich Repeat ~ Protein kinase domain ~ Protein tyrosine kinase
m01oak28216Cz,,-1.57,,,
m01oak31970Cz,,-1.57,,,
m01oak34742Jz,,-1.58,,,
m01oak12888CC,m01oak12888CC-t01.1,-1.58,AT5G54890,,RNA-binding CRS1 / YhbY (CRM) domain-containing protein
m01oak31762Cz,,-1.58,,,
m01oak19049CC,m01oak19049CC-t01.1,-1.58,AT5G20540,BRXL4,BREVIS RADIX-like 4
m01oak25980Cz,,-1.58,,,
m01oak43449Cz,,-1.58,,,
m01oak22108Cz,,-1.58,,,
m01oak22035cC,m01oak22035cC-t01.1,-1.58,AT2G29760,OTP81,Tetratricopeptide repeat (TPR)-like superfamily protein
m01oak18684Cz,,-1.58,,,
m01oak55196Cz,,-1.58,,,
m01oak05938CC,m01oak05938CC-t01.1,-1.58,AT1G47740,,PPPDE putative thiol peptidase family protein
m01oak49179Cz,,-1.58,,,
m01oak20309Cz,,-1.58,,,
m01oak64961Cz,,-1.58,,,
m01oak20110Cz,,-1.58,,,
m01oak10189cC,m01oak10189cC-t01.1,-1.58,AT4G02600,MLO1,Seven transmembrane MLO family protein
m01oak26861Jz,,-1.58,,,
m01oak24137Cz,,-1.58,,,
m01oak11095Cz,,-1.58,,,
m01oak21208Cz,,-1.58,,,
m01oak31259ci,m01oak31259ci-t01.1,-1.58,F:PF03514,GRAS,GRAS domain family
m01oak39860Cz,,-1.58,,,
m01oak23244Cz,,-1.58,,,
m01oak26569Cz,,-1.58,,,
m01oak10038cC,m01oak10038cC-t01.1,-1.58,AT5G49550,BLOS2,unknown protein
m01oak06631cC,m01oak06631cC-t01.1,-1.58,F:PF12315,DUF3633,Protein of unknown function (DUF3633)
m01oak32512Cz,,-1.58,,,
m01oak08628cC,m01oak08628cC-t01.1,-1.58,D:PF00076,RRM_1,"RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)"
m01oak41703Cz,,-1.58,,,
m01oak41183Cz,,-1.58,,,
m01oak15702CF,m01oak15702CF-t01.1,-1.58,AT5G64210,AOX2,alternative oxidase 2
m01oak11872Jt,m01oak11872Jt-t01.1,-1.58,AT4G13550,,triglyceride lipases; triglyceride lipases
m01oak20468cc,,-1.58,,,
m01oak18470cF,m01oak18470cF-t01.1,-1.58,D:PF13401 D:PF00931,AAA_22 NB-ARC,AAA domain ~ NB-ARC domain
m01oak16307CF,,-1.58,,,
m01oak08173cC,m01oak08173cC-t01.1,-1.58,AT2G41770,,Protein of unknown function (DUF288)
m01oak16407Cz,,-1.58,,,
m01oak00875Ct,m01oak00875Ct-t01.1,-1.58,AT5G13120,CYP20-2,cyclophilin 20-2
m01oak27997Cz,,-1.58,,,
m01oak56677Jz,,-1.58,,,
m01oak06388cC,m01oak06388cC-t01.1,-1.58,AT5G45590,,Ribosomal protein L35
m01oak25155Cz,,-1.58,,,
m01oak16841cC,m01oak16841cC-t01.1,-1.58,AT1G78810,,unknown protein
m01oak23788Cz,,-1.58,,,
m01oak44518Cz,,-1.58,,,
m01oak11433Ct,,-1.58,,,
m01oak32537Jz,,-1.58,,,
m01oak08758cC,m01oak08758cC-t01.1,-1.58,D:PF00096,zf-C2H2,"Zinc finger, C2H2 type"
m01oak34253Cz,,-1.58,,,
m01oak25493Cz,,-1.59,,,
m01oak01263cC,m01oak01263cC-t01.1,-1.59,AT2G44620,MTACP-1,mitochondrial acyl carrier protein 1
m01oak13500Cz,,-1.59,,,
m01oak26680Cz,,-1.59,,,
m01oak31657Cz,,-1.59,,,
m01oak10996CC,,-1.59,,,
m01oak24326Cz,,-1.59,,,
m01oak17248cC,m01oak17248cC-t01.1,-1.59,AT3G52030,,F-box family protein with WD40/YVTN repeat doamin
m01oak12448cf,m01oak12448cf-t01.1,-1.59,AT1G73240,,unknown protein
m01oak20826Jc,m01oak20826Jc-t01.1,-1.59,AT1G07650,,Leucine-rich repeat transmembrane protein kinase
m01oak49196jc,,-1.59,,,
m01oak21383Cz,,-1.59,,,
m01oak12582Cz,,-1.59,,,
m01oak08042SC,m01oak08042SC-t01.1,-1.59,AT1G75420,,UDP-Glycosyltransferase superfamily protein
m01oak20496Cz,,-1.59,,,
m01oak17258cC,,-1.59,,,
m01oak22975Cz,,-1.59,,,
m01oak31329Cz,,-1.59,,,
m01oak48049Cz,,-1.59,,,
m01oak07194jC,m01oak07194jC-t01.1,-1.59,AT3G20320,TGD2,trigalactosyldiacylglycerol2
m01oak45005Cz,,-1.59,,,
m01oak04594CC,m01oak04594CC-t01.1,-1.59,AT1G78060,,Glycosyl hydrolase family protein
m01oak00148cC,m01oak00148cC-t01.1,-1.59,AT4G16830,,Hyaluronan / mRNA binding family
m01oak11761Cz,,-1.59,,,
m01oak07519cC,m01oak07519cC-t01.1,-1.59,F:PF14531 D:PF00069 D:PF07714,Kinase-like Pkinase Pkinase_Tyr,Kinase-like ~ Protein kinase domain ~ Protein tyrosine kinase
m01oak38596Cz,,-1.59,,,
m01oak60338Cz,,-1.59,,,
m01oak14202Jz,,-1.59,,,
m01oak12289CC,m01oak12289CC-t01.1,-1.59,AT1G28240,,Protein of unknown function (DUF616)
m01oak02953Cz,,-1.59,,,
m01oak64833Ct,,-1.59,,,
m01oak09382Ct,m01oak09382Ct-t01.1,-1.59,AT1G19520,NFD5,pentatricopeptide (PPR) repeat-containing protein
m01oak63639Cz,,-1.59,,,
m01oak00749cC,m01oak00749cC-t01.1,-1.59,AT1G58290,HEMA1,Glutamyl-tRNA reductase family protein
m01oak18355Cz,,-1.59,,,
m01oak57496Jz,,-1.59,,,
m01oak04197CC,m01oak04197CC-t01.1,-1.59,AT2G20900,DGK5,diacylglycerol kinase 5
m01oak37385Jz,,-1.59,,,
m01oak07395cC,m01oak07395cC-t01.1,-1.59,AT5G28770,BZO2H3,bZIP transcription factor family protein
m01oak32374Cz,,-1.59,,,
m01oak48491Cz,,-1.59,,,
m01oak49173Cz,,-1.59,,,
m01oak21966cC,m01oak21966cC-t01.1,-1.59,F:PF00107,ADH_zinc_N,Zinc-binding dehydrogenase
m01oak17488Ct,m01oak17488Ct-t01.1,-1.59,D:PF13720,Acetyltransf_11,Udp N-acetylglucosamine O-acyltransferase; Domain 2
m01oak38982Cz,,-1.60,,,
m01oak02785cT,m01oak02785cT-t01.1,-1.60,AT5G20130,,unknown protein
m01oak36592cC,m01oak36592cC-t01.1,-1.60,F:PF03478,DUF295,Protein of unknown function (DUF295)
m01oak76338Cz,,-1.60,,,
m01oak18535Cf,m01oak18535Cf-t01.1,-1.60,F:PF03552,Cellulose_synt,Cellulose synthase
m01oak15504CF,m01oak15504CF-t01.1,-1.60,D:PF03368 F:PF02170 F:PF04851 F:PF00176 D:PF00270 F:PF00271,Dicer_dimer PAZ ResIII SNF2_N DEAD Helicase_C,"Dicer dimerisation domain ~ PAZ domain ~ Type III restriction enzyme, res subunit ~ SNF2 family N-terminal domain ~ DEAD/DEAH box helicase ~ Helicase conserved C-terminal domain"
m01oak18130Cz,,-1.60,,,
m01oak37961Cz,,-1.60,,,
m01oak45772cm,,-1.60,,,
m01oak19835CC,m01oak19835CC-t01.1,-1.60,AT1G53035,,unknown protein
m01oak42526Cz,,-1.60,,,
m01oak26476cC,m01oak26476cC-t01.1,-1.60,AT3G53150,UGT73D1,UDP-glucosyl transferase 73D1
m01oak09654Cz,,-1.60,,,
m01oak05908cf,,-1.60,,,
m01oak23433CT,m01oak23433CT-t01.1,-1.60,F:PF05148 D:PF13489 D:PF08241,Methyltransf_8 Methyltransf_23 Methyltransf_11,Hypothetical methyltransferase ~ Methyltransferase domain ~ Methyltransferase domain
m01oak24655Cz,,-1.60,,,
m01oak09250cC,m01oak09250cC-t01.1,-1.60,AT4G10750,,Phosphoenolpyruvate carboxylase family protein
m01oak14991CC,,-1.60,,,
m01oak34519Cz,,-1.60,,,
m01oak12745Cz,,-1.60,,,
m01oak34607Cz,,-1.60,,,
m01oak36929Cz,,-1.60,,,
m01oak40301Cz,,-1.60,,,
m01oak06414cC,m01oak06414cC-t01.1,-1.60,AT5G23610,,unknown protein
m01oak17084CC,,-1.60,,,
m01oak59700Cz,,-1.60,,,
m01oak11588cC,m01oak11588cC-t01.1,-1.60,AT4G21520,,Transducin/WD40 repeat-like superfamily protein
m01oak32383Cz,,-1.60,,,
m01oak21418Cc,,-1.60,,,
m01oak16265cC,m01oak16265cC-t01.1,-1.60,F:PF11883 D:PF00069 D:PF07714,DUF3403 Pkinase Pkinase_Tyr,Domain of unknown function (DUF3403) ~ Protein kinase domain ~ Protein tyrosine kinase
m01oak58791Cz,,-1.60,,,
m01oak08481cC,m01oak08481cC-t01.1,-1.60,AT2G25660,emb2410,embryo defective 2410
m01oak19875Cf,m01oak19875Cf-t01.1,-1.60,D:PF00931,NB-ARC,NB-ARC domain
m01oak10936cT,m01oak10936cT-t01.1,-1.60,AT1G26660,,Prefoldin chaperone subunit family protein
m01oak17827Cz,,-1.60,,,
m01oak11329Cz,,-1.60,,,
m01oak00828CC,m01oak00828CC-t01.1,-1.60,AT3G55770,,GATA type zinc finger transcription factor family protein
